,N_customers,vaccination_prop,len_shoplist,basic_compliance,vision,run,n_problematic_contacts,n_problematic_contacts_mean,n_problematic_contacts_mean_100
165,50,0.50927734375,16,0.68896484375,4,165,0,0.93812375249501,0.9301745635910225
166,50,0.50927734375,16,0.90087890625,6,166,0,0.9720558882235529,0.8403990024937655
167,13,0.60888671875,5,0.68896484375,6,167,0,0.029940119760479042,0.02493765586034913
168,68,0.13427734375,14,0.77587890625,4,168,5,5.351297405189621,5.581047381546135
169,65,0.13427734375,14,0.77587890625,4,169,6,4.724550898203593,4.860349127182045
170,68,0.23388671875,14,0.77587890625,4,170,3,3.6786427145708585,3.5261845386533666
171,68,0.13427734375,18,0.77587890625,4,171,2,5.522954091816367,5.728179551122195
172,68,0.13427734375,14,0.06396484375,4,172,9,11.259481037924152,11.54862842892768
173,68,0.13427734375,14,0.77587890625,3,173,5,4.493013972055889,4.2992518703241895
174,65,0.23388671875,18,0.06396484375,3,174,3,6.702594810379241,6.508728179551122
175,138,0.63427734375,4,0.27587890625,6,175,9,10.011976047904191,9.064837905236908
176,135,0.63427734375,4,0.27587890625,6,176,17,10.337325349301397,10.401496259351621
177,138,0.73388671875,4,0.27587890625,6,177,4,6.491017964071856,7.164588528678304
178,138,0.63427734375,8,0.27587890625,6,178,7,8.183632734530939,8.154613466334165
179,138,0.63427734375,4,0.56396484375,6,179,11,8.313373253493014,8.885286783042394
180,138,0.63427734375,4,0.27587890625,5,180,16,8.744510978043913,9.381546134663342
181,135,0.73388671875,8,0.56396484375,5,181,5,3.4730538922155687,2.9650872817955114
182,103,0.38427734375,19,0.52587890625,5,182,15,12.912175648702595,12.915211970074813
183,100,0.38427734375,19,0.52587890625,5,183,10,10.119760479041917,10.628428927680797
184,103,0.48388671875,19,0.52587890625,5,184,13,6.920159680638722,6.8802992518703245
185,103,0.38427734375,3,0.52587890625,5,185,22,11.063872255489022,10.997506234413965
186,103,0.38427734375,19,0.81396484375,5,186,10,10.994011976047904,10.324189526184538
187,103,0.38427734375,19,0.52587890625,6,187,9,13.377245508982035,13.817955112219451
188,100,0.48388671875,3,0.81396484375,6,188,11,6.189620758483034,6.144638403990025
189,33,0.88427734375,9,0.02587890625,3,189,0,0.0718562874251497,0.08977556109725686
190,30,0.88427734375,9,0.02587890625,3,190,0,0.011976047904191617,0.004987531172069825
191,33,0.98388671875,9,0.02587890625,3,191,0,0.0,0.0
192,33,0.88427734375,13,0.02587890625,3,192,0,0.01996007984031936,0.017456359102244388
193,33,0.88427734375,9,0.31396484375,3,193,0,0.07784431137724551,0.09725685785536159
194,33,0.88427734375,9,0.02587890625,4,194,0,0.06187624750499002,0.07231920199501247
195,30,0.98388671875,13,0.31396484375,4,195,0,0.0,0.0
196,41,0.07177734375,17,0.33837890625,5,196,3,3.053892215568862,3.2194513715710724
197,22,0.07177734375,17,0.33837890625,5,197,0,0.7784431137724551,0.7107231920199502
198,41,0.17138671875,17,0.33837890625,5,198,1,2.694610778443114,3.0099750623441395
199,41,0.07177734375,19,0.33837890625,5,199,4,2.910179640718563,2.8179551122194515
200,41,0.07177734375,17,0.00146484375,5,200,5,4.489021956087824,4.613466334164588
201,41,0.07177734375,17,0.33837890625,6,201,1,3.650698602794411,3.5860349127182043
202,22,0.17138671875,19,0.00146484375,6,202,0,0.9660678642714571,1.0498753117206983
203,111,0.57177734375,7,0.83837890625,3,203,8,5.103792415169661,4.698254364089776
204,92,0.57177734375,7,0.83837890625,3,204,2,3.1996007984031936,3.2319201995012468
205,111,0.67138671875,7,0.83837890625,3,205,6,2.784431137724551,2.9625935162094765
206,111,0.57177734375,9,0.83837890625,3,206,2,4.798403193612774,5.0099750623441395
207,111,0.57177734375,7,0.50146484375,3,207,3,7.323353293413174,7.241895261845387
208,111,0.57177734375,7,0.83837890625,4,208,6,4.934131736526946,5.615960099750623
209,92,0.67138671875,9,0.50146484375,4,209,3,1.6407185628742516,1.6907730673316708
210,146,0.32177734375,12,0.08837890625,4,210,39,30.606786427145707,30.281795511221944
211,127,0.32177734375,12,0.08837890625,4,211,27,25.105788423153694,25.453865336658353
212,146,0.42138671875,12,0.08837890625,4,212,23,25.59680638722555,24.596009975062344
213,146,0.32177734375,4,0.08837890625,4,213,43,38.321357285429144,38.48628428927681
214,146,0.32177734375,12,0.75146484375,4,214,27,33.50898203592814,33.82044887780549
215,146,0.32177734375,12,0.08837890625,3,215,31,34.17365269461078,32.95511221945137
216,127,0.42138671875,4,0.75146484375,3,216,11,15.179640718562874,15.935162094763092
217,76,0.82177734375,2,0.58837890625,6,217,0,0.6686626746506986,0.7556109725685786
218,57,0.82177734375,2,0.58837890625,6,218,1,0.1996007984031936,0.22942643391521197
219,76,0.92138671875,2,0.58837890625,6,219,0,0.0499001996007984,0.059850374064837904
220,76,0.82177734375,14,0.58837890625,6,220,2,0.48502994011976047,0.49875311720698257
221,76,0.82177734375,2,0.25146484375,6,221,1,0.2714570858283433,0.30423940149625933
222,76,0.82177734375,2,0.58837890625,5,222,0,1.0259481037924152,0.6658354114713217
223,57,0.92138671875,14,0.25146484375,5,223,1,0.07784431137724551,0.08977556109725686
224,59,0.44677734375,5,0.71337890625,6,224,3,1.3912175648702594,1.341645885286783
225,39,0.44677734375,5,0.71337890625,6,225,0,0.530938123752495,0.5760598503740648
226,59,0.29638671875,5,0.71337890625,6,226,3,2.812375249500998,3.0074812967581046
227,59,0.44677734375,2,0.71337890625,6,227,1,2.2175648702594812,2.079800498753117
228,59,0.44677734375,5,0.87646484375,6,228,0,1.0978043912175648,1.1321695760598505
229,59,0.44677734375,5,0.71337890625,4,229,0,1.347305389221557,1.3591022443890275
230,39,0.29638671875,2,0.87646484375,4,230,0,1.3532934131736527,1.625935162094763
231,129,0.94677734375,15,0.21337890625,4,231,0,0.017964071856287425,0.022443890274314215
232,109,0.94677734375,15,0.21337890625,4,232,0,0.10578842315369262,0.06733167082294264
233,129,0.79638671875,15,0.21337890625,4,233,2,1.7045908183632734,1.4114713216957606
234,129,0.94677734375,12,0.21337890625,4,234,0,0.021956087824351298,0.02743142144638404
235,129,0.94677734375,15,0.37646484375,4,235,0,0.3772455089820359,0.4513715710723192
236,129,0.94677734375,15,0.21337890625,6,236,0,0.1497005988023952,0.06234413965087282
237,109,0.79638671875,12,0.37646484375,6,237,2,1.377245508982036,1.3167082294264338
238,94,0.19677734375,0,0.96337890625,3,238,33,39.69461077844311,41.214463840399006
239,144,0.19677734375,0,0.96337890625,3,239,58,53.4251497005988,48.34912718204489
240,94,0.04638671875,0,0.96337890625,3,240,48,60.49700598802395,60.54364089775561
241,94,0.19677734375,17,0.96337890625,3,241,11,10.215568862275449,9.743142144638403
242,94,0.19677734375,0,0.12646484375,3,242,42,41.15169660678643,40.77805486284289
243,94,0.19677734375,0,0.96337890625,5,243,33,38.12175648702595,38.925187032418954
244,144,0.04638671875,17,0.12646484375,5,244,75,73.81037924151697,74.08977556109726
245,24,0.69677734375,10,0.46337890625,5,245,0,0.04790419161676647,0.0399002493765586
246,74,0.69677734375,10,0.46337890625,5,246,2,1.5908183632734532,1.600997506234414
247,24,0.54638671875,10,0.46337890625,5,247,0,0.17564870259481039,0.1745635910224439
248,24,0.69677734375,7,0.46337890625,5,248,0,0.00998003992015968,0.007481296758104738
249,24,0.69677734375,10,0.62646484375,5,249,0,0.06786427145708583,0.08229426433915212
250,24,0.69677734375,10,0.46337890625,3,250,0,0.10978043912175649,0.12468827930174564
251,74,0.54638671875,7,0.62646484375,3,251,2,2.183632734530938,2.226932668329177
252,20,0.22802734375,8,0.55712890625,4,252,0,0.2215568862275449,0.24688279301745636
253,113,0.22802734375,8,0.55712890625,4,253,37,20.63872255489022,21.653366583541146
254,20,0.82763671875,8,0.55712890625,4,254,0,0.029940119760479042,0.03740648379052369
255,20,0.22802734375,16,0.55712890625,4,255,1,0.3333333333333333,0.34663341645885287
256,20,0.22802734375,8,0.53271484375,4,256,1,0.1497005988023952,0.14962593516209477
257,20,0.22802734375,8,0.55712890625,5,257,1,0.13572854291417166,0.1571072319201995
258,113,0.82763671875,16,0.53271484375,5,258,1,1.3732534930139721,1.5112219451371571
259,90,0.72802734375,18,0.05712890625,6,259,3,1.5029940119760479,1.5561097256857854
260,43,0.72802734375,18,0.05712890625,6,260,0,0.4471057884231537,0.4139650872817955
261,90,0.32763671875,18,0.05712890625,6,261,16,12.271457085828343,12.518703241895262
262,90,0.72802734375,6,0.05712890625,6,262,0,1.6267465069860279,1.7481296758104738
263,90,0.72802734375,18,0.03271484375,6,263,2,2.946107784431138,2.975062344139651
264,90,0.72802734375,18,0.05712890625,3,264,3,3.067864271457086,2.887780548628429
265,43,0.32763671875,6,0.03271484375,3,265,1,2.0518962075848304,2.1047381546134662
